Date,Demand,Net_generation
2016-08-31,369344.0,469441.0
2016-09-01,379010.0,469676.0
2016-09-02,375158.0,457223.0
2016-09-03,360326.0,436201.0
2016-09-04,327057.0,396447.0
2016-09-05,321413.0,392250.0
2016-09-06,339892.0,420423.0
2016-09-07,337447.0,424490.0
2016-09-08,318414.0,400584.0
2016-09-09,341297.0,414655.0
2016-09-10,339459.0,406069.0
2016-09-11,334551.0,396216.0
2016-09-12,342847.0,405729.0
2016-09-13,329830.0,391281.0
2016-09-14,322491.0,391472.0
2016-09-15,313294.0,388320.0
2016-09-16,302892.0,381337.0
2016-09-17,296441.0,381224.0
2016-09-18,301884.0,382641.0
2016-09-19,320267.0,405316.0
2016-09-20,326588.0,416351.0
2016-09-21,325537.0,409157.0
2016-09-22,334004.0,390478.0
2016-09-23,295311.0,353001.0
2016-09-24,260725.0,331678.0
2016-09-25,267615.0,352971.0
2016-09-26,291945.0,393026.0
2016-09-27,276892.0,384735.0
2016-09-28,293631.0,400965.0
2016-09-29,310649.0,411243.0
2016-09-30,310132.0,406952.0
2016-10-01,298575.0,388507.0
2016-10-02,280836.0,366586.0
2016-10-03,274117.0,359616.0
2016-10-04,259166.0,345392.0
2016-10-05,260502.0,348733.0
2016-10-06,269413.0,362525.0
2016-10-07,270937.0,362986.0
2016-10-08,283513.0,360637.0
2016-10-09,281706.0,347219.0
2016-10-10,293805.0,381897.0
2016-10-11,293985.0,377856.0
2016-10-12,283476.0,356898.0
2016-10-13,273795.0,341804.0
2016-10-14,274804.0,341598.0
2016-10-15,271292.0,336591.0
2016-10-16,265260.0,330522.0
2016-10-17,275068.0,347981.0
2016-10-18,279412.0,354309.0
2016-10-19,274684.0,361756.0
2016-10-20,277949.0,371134.0
2016-10-21,284298.0,372208.0
2016-10-22,280003.0,360200.0
2016-10-23,275455.0,347481.0
2016-10-24,282278.0,360446.0
2016-10-25,287496.0,372053.0
2016-10-26,285658.0,379007.0
2016-10-27,292614.0,386380.0
2016-10-28,295575.0,382337.0
2016-10-29,279325.0,358171.0
2016-10-30,271963.0,351124.0
2016-10-31,274659.0,350913.0
2016-11-01,260892.0,324490.0
2016-11-02,253871.0,313882.0
2016-11-03,257434.0,326578.0
2016-11-04,247285.0,317844.0
2016-11-05,243245.0,316848.0
2016-11-06,238473.0,296927.0
2016-11-07,257461.0,320957.0
2016-11-08,255883.0,339516.0
